"","Sample.ID","Culture","Salinity","Temperature","Treatment.ID","Replicate","Day","Date","Week","Continuation","DunaAlive","DunaDead","Fluorescenc","Absorbance"
"1163","S13_24_4M_1","13","4",24,"S13_24_4M","1",10,NA,"02",0,51836.6386029042,313.298365182388,NA,NA
"1164","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",10,NA,"02",0,435992.607574912,484.21469450405,NA,NA
"1165","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",10,NA,"02",0,51922.1423911634,427.225527080335,NA,NA
"1166","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",10,NA,"02",0,164399.360612948,199.375523958877,NA,NA
"1167","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",10,NA,"02",0,58017.4236173328,398.745179500569,NA,NA
"1168","S3_24_2M_2","3","2",24,"S3_24_2M","2",10,NA,"02",0,704964.966672972,256.340539778463,NA,NA
"1169","S3_24_4M_2","3","4",24,"S3_24_4M","2",10,NA,"02",0,40828.1945420831,172.028909587429,NA,NA
"1170","S11_24_2M_2","11","2",24,"S11_24_2M","2",10,NA,"02",0,359990.417500942,370.272602857208,NA,NA
"1171","S11_24_4M_2","11","4",24,"S11_24_4M","2",10,NA,"02",0,36313.9231418235,284.815083465282,NA,NA
"1172","S13_24_2M_2","13","2",24,"S13_24_2M","2",10,NA,"02",0,355557.813276786,455.733798960873,NA,NA
"1173","S13_24_4M_2","13","4",24,"S13_24_4M","2",10,NA,"02",0,51436.761202961,315.38705308393,NA,NA
"1174","Mix_24_2M_2","mix","2",24,"Mix_24_2M","2",10,NA,"02",0,366518.098523749,598.141130634032,NA,NA
"1175","Mix_24_4M_2","mix","4",24,"Mix_24_4M","2",10,NA,"02",0,51409.7045567581,284.818307793674,NA,NA
"1176","S1C_24_2M_3","1C","2",24,"S1C_24_2M","3",10,NA,"02",0,111052.606871749,256.340975082261,NA,NA
"1177","S1C_24_4M_3","1C","4",24,"S1C_24_4M","3",10,NA,"02",0,54542.4280842593,655.078770724786,NA,NA
"1178","S3_24_2M_3","3","2",24,"S3_24_2M","3",10,NA,"02",0,832600.6712863,313.307587033022,NA,NA
"1179","S3_24_4M_3","3","4",24,"S3_24_4M","3",10,NA,"02",0,50326.9391950487,199.371009827584,NA,NA
"1180","S11_24_2M_3","11","2",24,"S11_24_2M","3",10,NA,"02",0,369167.009245128,170.897465895438,NA,NA
"1181","S11_24_4M_3","11","4",24,"S11_24_4M","3",10,NA,"02",0,40472.2691776562,142.407702947418,NA,NA
"1182","S13_24_2M_3","13","2",24,"S13_24_2M","3",10,NA,"02",0,396637.333111021,626.644260570375,NA,NA
"1183","S13_24_4M_3","13","4",24,"S13_24_4M","3",10,NA,"02",0,50953.7933714804,199.372025489303,NA,NA
"1184","Mix_24_2M_3","mix","2",24,"Mix_24_2M","3",10,NA,"02",0,437987.176577135,398.765719716453,NA,NA
"1185","Mix_24_4M_3","mix","4",24,"Mix_24_4M","3",10,NA,"02",0,58748.0065244521,344.058603364288,NA,NA
"1186","Blank_24_2M","blank","2",24,"Blank_24_2M","blank",10,NA,"02",0,258.047334392162,0,NA,NA
"1187","Blank_24_4M","blank","4",24,"Blank_24_4M","blank",10,NA,"02",0,86.0143567703708,0,NA,NA
"1188","S1C_36_2M_1","1C","2",36,"S1C_36_2M","1",10,NA,"02",0,58090.2820880275,401.413597844218,NA,NA
"1189","S1C_36_3.5M_1","1C","3,5",36,"S1C_36_3.5M","1",10,NA,"02",0,95100.5099887732,370.262542633738,NA,NA
"1190","S1C_36_4M_1","1C","4",36,"S1C_36_4M","1",10,NA,"02",0,61919.0444826943,655.077287535405,NA,NA
"1191","S3_36_2M_1","3","2",36,"S3_36_2M","1",10,NA,"02",0,67047.4061492937,113.929322258783,NA,NA
"1192","S3_36_3.5M_1","3","3,5",36,"S3_36_3.5M","1",10,NA,"02",0,48999.6235882447,602.10186972097,NA,NA
"1193","S3_36_4M_1","3","4",36,"S3_36_4M","1",10,NA,"02",0,7253.91048762224,458.745327280458,NA,NA
"1194","S11_36_2M_1","11","2",36,"S11_36_2M","1",10,NA,"02",0,3555.29654485827,229.373970636018,NA,NA
"1195","S11_36_3.5M_1","11","3,5",36,"S11_36_3.5M","1",10,NA,"02",0,6164.42897341617,1605.61870935491,NA,NA
"1196","S11_36_4M_1","11","4",36,"S11_36_4M","1",10,NA,"02",0,5676.99283393889,3239.89995068229,NA,NA
"1197","S13_36_2M_1","13","2",36,"S13_36_2M","1",10,NA,"02",0,57968.7287750345,712.146545147844,NA,NA
"1198","S13_36_3.5M_1","13","3,5",36,"S13_36_3.5M","1",10,NA,"02",0,53530.2724062108,1003.51340879345,NA,NA
"1199","S13_36_4M_1","13","4",36,"S13_36_4M","1",10,NA,"02",0,38104.6640217413,974.837153302637,NA,NA
"1200","Mix_36_2M_1","mix","2",36,"Mix_36_2M","1",10,NA,"02",0,136234.765751986,398.763688172236,NA,NA
"1201","Mix_36_3.5M_1","mix","3,5",36,"Mix_36_3.5M","1",10,NA,"02",0,80395.6683289554,315.389569050824,NA,NA
"1202","Mix_36_4M_1","mix","4",36,"Mix_36_4M","1",10,NA,"02",0,40455.419134331,544.757592879015,NA,NA
"1203","S1C_36_2M_2","1C","2",36,"S1C_36_2M","2",10,NA,"02",0,122803.258751834,516.100550439648,NA,NA
"1204","S1C_36_3.5M_2","1C","3,5",36,"S1C_36_3.5M","2",10,NA,"02",0,101727.008184702,516.089669482703,NA,NA
"1205","S1C_36_4M_2","1C","4",36,"S1C_36_4M","2",10,NA,"02",0,57342.9371880098,716.786714850122,NA,NA
"1206","S3_36_2M_2","3","2",36,"S3_36_2M","2",10,NA,"02",0,64970.6954789199,57.3439501137863,NA,NA
"1207","S3_36_3.5M_2","3","3,5",36,"S3_36_3.5M","2",10,NA,"02",0,49687.6267610175,659.443401906176,NA,NA
"1208","S3_36_4M_2","3","4",36,"S3_36_4M","2",10,NA,"02",0,18923.2124024127,516.087610974892,NA,NA
"1209","S11_36_2M_2","11","2",36,"S11_36_2M","2",10,NA,"02",0,4186.83860422125,56.9637905336225,NA,NA
"1210","S11_36_3.5M_2","11","3,5",36,"S11_36_3.5M","2",10,NA,"02",0,7311.3119783523,3067.88384973999,NA,NA
"1211","S11_36_4M_2","11","4",36,"S11_36_4M","2",10,NA,"02",0,8601.44057820147,3469.24769987459,NA,NA
"1212","S13_36_2M_2","13","2",36,"S13_36_2M","2",10,NA,"02",0,156644.907490703,774.192294023246,NA,NA
"1213","S13_36_3.5M_2","13","3,5",36,"S13_36_3.5M","2",10,NA,"02",0,75722.5998290877,630.78273238922,NA,NA
"1214","S13_36_4M_2","13","4",36,"S13_36_4M","2",10,NA,"02",0,36285.6059441357,1139.26549275151,NA,NA
"1215","Mix_36_2M_2","mix","2",36,"Mix_36_2M","2",10,NA,"02",0,51700.9916941123,372.774759857715,NA,NA
"1216","Mix_36_3.5M_2","mix","3,5",36,"Mix_36_3.5M","2",10,NA,"02",0,59407.8922461317,716.794066676299,NA,NA
"1217","Mix_36_4M_2","mix","4",36,"Mix_36_4M","2",10,NA,"02",0,27983.4490188592,917.490131765877,NA,NA
"1218","S1C_36_2M_3","1C","2",36,"S1C_36_2M","3",10,NA,"02",0,30221.3982755062,344.076640707851,NA,NA
"1219","S1C_36_3.5M_3","1C","3,5",36,"S1C_36_3.5M","3",10,NA,"02",0,74746.7741723013,602.102898971357,NA,NA
"1220","S1C_36_4M_3","1C","4",36,"S1C_36_4M","3",10,NA,"02",0,53931.0938860297,860.1450380547,NA,NA
"1221","S3_36_2M_3","3","2",36,"S3_36_2M","3",10,NA,"02",0,42778.8305462663,86.0164153075059,NA,NA
"1222","S3_36_3.5M_3","3","3,5",36,"S3_36_3.5M","3",10,NA,"02",0,42777.6361420392,286.713378968091,NA,NA
"1223","S3_36_4M_3","3","4",36,"S3_36_4M","3",10,NA,"02",0,14041.3836148384,284.815083465282,NA,NA
"1224","S11_36_2M_3","11","2",36,"S11_36_2M","3",10,NA,"02",0,5305.06587754673,48.5960233057716,NA,NA
"1225","S11_36_3.5M_3","11","3,5",36,"S11_36_3.5M","3",10,NA,"02",0,17308.1081175461,680.33742717542,NA,NA
"1226","S11_36_4M_3","11","4",36,"S11_36_4M","3",10,NA,"02",0,13955.0075272757,1214.88748061019,NA,NA
"1227","S13_36_2M_3","13","2",36,"S13_36_2M","3",10,NA,"02",0,56787.1188006948,200.425125178923,NA,NA
"1228","S13_36_3.5M_3","13","3,5",36,"S13_36_3.5M","3",10,NA,"02",0,39772.2346985661,178.968172752288,NA,NA
"1229","S13_36_4M_3","13","4",36,"S13_36_4M","3",10,NA,"02",0,26358.5650708083,99.4037651947514,NA,NA
"1230","Mix_36_2M_3","mix","2",36,"Mix_36_2M","3",10,NA,"02",0,120671.693120092,383.236818166232,NA,NA
"1231","Mix_36_3.5M_3","mix","3,5",36,"Mix_36_3.5M","3",10,NA,"02",0,62657.6559717076,520.443300862597,NA,NA
"1232","Mix_36_4M_3","mix","4",36,"Mix_36_4M","3",10,NA,"02",0,25585.5632880647,332.069672304733,NA,NA
"1233","Blank_36_2M","blank","2",36,"Blank_36_2M","blank",10,NA,"02",0,32.3972289306463,8.09930723266158,NA,NA
"1234","Blank_36_3.5M","blank","3,5",36,"Blank_36_3.5M","blank",10,NA,"02",0,113.38982671631,8.09927333687925,NA,NA
"1235","Blank_36_4M","blank","4",36,"Blank_36_4M","blank",10,NA,"02",0,32.3970516298594,0,NA,NA
"1236","S1C_24_2M","1C","2",24,"pooled","pooled",10,NA,"02",0,116805.382031997,180.387330459747,NA,NA
"1237","S1C_24_4M","1C","4",24,"pooled","pooled",10,NA,"02",0,52586.6684825108,427.225338999194,NA,NA
"1238","S3_24_2M","3","2",24,"pooled","pooled",10,NA,"02",0,777745.101953458,218.365603796696,NA,NA
"1239","S3_24_4M","3","4",24,"pooled","pooled",10,NA,"02",0,43932.7870581888,247.220191939237,NA,NA
"1240","S11_24_2M","11","2",24,"pooled","pooled",10,NA,"02",0,382018.867671891,332.296989743939,NA,NA
"1241","S11_24_4M","11","4",24,"pooled","pooled",10,NA,"02",0,39475.3858407013,199.370612163956,NA,NA
"1242","S13_24_2M","13","2",24,"pooled","pooled",10,NA,"02",0,377766.289446507,522.19685375454,NA,NA
"1243","S13_24_4M","13","4",24,"pooled","pooled",10,NA,"02",0,51409.0643924485,276.01914791854,NA,NA
"1244","Mix_24_2M","mix","2",24,"pooled","pooled",10,NA,"02",0,413499.294225265,493.707181618178,NA,NA
"1245","Mix_24_4M","mix","4",24,"pooled","pooled",10,NA,"02",0,54026.6178241245,352.034146079432,NA,NA
"1246","S1C_36_2M","1C","2",36,"pooled","pooled",10,NA,"02",0,70371.6463717892,420.530262997239,NA,NA
"1247","S1C_36_3.5M","1C","3,5",36,"pooled","pooled",10,NA,"02",0,90524.7641152588,496.151703695933,NA,NA
"1248","S1C_36_4M","1C","4",36,"pooled","pooled",10,NA,"02",0,57731.0251855779,744.003013480076,NA,NA
"1249","S3_36_2M","3","2",36,"pooled","pooled",10,NA,"02",0,58265.64405816,85.7632292266917,NA,NA
"1250","S3_36_3.5M","3","3,5",36,"pooled","pooled",10,NA,"02",0,47154.9621637671,516.086216865079,NA,NA
"1251","S3_36_4M","3","4",36,"pooled","pooled",10,NA,"02",0,13406.1688349578,419.882673906877,NA,NA
"1252","S11_36_2M","11","2",36,"pooled","pooled",10,NA,"02",0,4349.06700887542,111.644594825137,NA,NA
"1253","S11_36_3.5M","11","3,5",36,"pooled","pooled",10,NA,"02",0,10261.2830231049,1784.61332875677,NA,NA
"1254","S11_36_4M","11","4",36,"pooled","pooled",10,NA,"02",0,9411.14697980535,2641.34504372236,NA,NA
"1255","S13_36_2M","13","2",36,"pooled","pooled",10,NA,"02",0,90466.9183554774,562.254654783338,NA,NA
"1256","S13_36_3.5M","13","3,5",36,"pooled","pooled",10,NA,"02",0,56341.7023112882,604.421437978319,NA,NA
"1257","S13_36_4M","13","4",36,"pooled","pooled",10,NA,"02",0,33582.9450122284,737.835470416299,NA,NA
"1258","Mix_36_2M","mix","2",36,"pooled","pooled",10,NA,"02",0,102869.15018873,384.925088732061,NA,NA
"1259","Mix_36_3.5M","mix","3,5",36,"pooled","pooled",10,NA,"02",0,67487.0721822649,517.542312196573,NA,NA
"1260","Mix_36_4M","mix","4",36,"pooled","pooled",10,NA,"02",0,31341.477147085,598.105798983208,NA,NA
"1261","S1C_24_2M_1","1C","2",24,"S1C_24_2M","1",10,NA,"01",1,654852.459830491,2677.40121021557,NA,NA
"1262","S1C_24_4M_1","1C","4",24,"S1C_24_4M","1",10,NA,"01",1,435603.3390556,2136.14819073951,NA,NA
"1263","S3_24_2M_1","3","2",24,"S3_24_2M","1",10,NA,"01",1,945391.282581897,2478.05253184975,NA,NA
"1264","S3_24_4M_1","3","4",24,"S3_24_4M","1",10,NA,"01",1,490117.379026379,3759.83576634405,NA,NA
"1265","S11_24_2M_1","11","2",24,"S11_24_2M","1",10,NA,"01",1,892224.671664919,3817.30862078861,NA,NA
"1266","S11_24_4M_1","11","4",24,"S11_24_4M","1",10,NA,"01",1,310739.763946455,1424.10524265103,NA,NA
"1267","S13_24_2M_1","13","2",24,"S13_24_2M","1",10,NA,"01",1,780230.854820236,6010.97963951621,NA,NA
"1268","S13_24_4M_1","13","4",24,"S13_24_4M","1",10,NA,"01",1,307295.516573959,4329.30934463265,NA,NA
"1269","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",10,NA,"01",1,757747.344172933,4672.00137014027,NA,NA
"1270","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",10,NA,"01",1,373267.069384729,3190.07338962913,NA,NA
"1271","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",10,NA,"01",1,545180.324184789,4443.94035807436,NA,NA
"1272","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",10,NA,"01",1,404134.187064644,2848.2217708411,NA,NA
"1273","S3_24_2M_2","3","2",24,"S3_24_2M","2",10,NA,"01",1,1011535.94875056,1709.01238771813,NA,NA
"1274","S3_24_4M_2","3","4",24,"S3_24_4M","2",10,NA,"01",1,496456.857401691,3588.84475230138,NA,NA
"1275","S11_24_2M_2","11","2",24,"S11_24_2M","2",10,NA,"01",1,884286.755031112,2506.9985323047,NA,NA
"1276","S11_24_4M_2","11","4",24,"S11_24_4M","2",10,NA,"01",1,306580.682484852,1993.74282552394,NA,NA
"1277","S13_24_2M_2","13","2",24,"S13_24_2M","2",10,NA,"01",1,806295.142824095,5555.15503129345,NA,NA
"1278","S13_24_4M_2","13","4",24,"S13_24_4M","2",10,NA,"01",1,332730.962340728,3246.98936028445,NA,NA
"1279","Mix_24_2M_2","mix","2",24,"Mix_24_2M","2",10,NA,"01",1,737980.278219561,4244.56245828133,NA,NA
"1280","Mix_24_4M_2","mix","4",24,"Mix_24_4M","2",10,NA,"01",1,359614.852316281,2364.01336466429,NA,NA
"1281","S1C_24_2M_3","1C","2",24,"S1C_24_2M","3",10,NA,"01",1,602325.705161146,3076.43301761191,NA,NA
"1282","S1C_24_4M_3","1C","4",24,"S1C_24_4M","3",10,NA,"01",1,422359.937493146,2591.86420607433,NA,NA
"1283","S3_24_2M_3","3","2",24,"S3_24_2M","3",10,NA,"01",1,893013.567744562,3589.14543973891,NA,NA
"1284","S3_24_4M_3","3","4",24,"S3_24_4M","3",10,NA,"01",1,500260.255977445,3959.0170565284,NA,NA
"1285","S11_24_2M_3","11","2",24,"S11_24_2M","3",10,NA,"01",1,923175.030288929,2820.29031656495,NA,NA
"1286","S11_24_4M_3","11","4",24,"S11_24_4M","3",10,NA,"01",1,340900.962230341,2221.59537588492,NA,NA
"1287","S13_24_2M_3","13","2",24,"S13_24_2M","3",10,NA,"01",1,853528.204577349,5612.13098033235,NA,NA
"1288","S13_24_4M_3","13","4",24,"S13_24_4M","3",10,NA,"01",1,298524.151544829,3360.92451887127,NA,NA
"1289","Mix_24_2M_3","mix","2",24,"Mix_24_2M","3",10,NA,"01",1,756095.671915849,4643.69233316818,NA,NA
"1290","Mix_24_4M_3","mix","4",24,"Mix_24_4M","3",10,NA,"01",1,396871.89549296,1908.3118270438,NA,NA
"1291","Blank_24_2M","blank","2",24,"Blank_24_2M","blank",10,NA,"01",1,1253.1955887899,0,NA,NA
"1292","Blank_24_4M","blank","4",24,"Blank_24_4M","blank",10,NA,"01",1,143.35701622629,0,NA,NA
"1293","S1C_36_2M_1","1C","2",36,"S1C_36_2M","1",10,NA,"01",1,233819.366400038,16351.4030596518,NA,NA
"1294","S1C_36_3.5M_1","1C","3,5",36,"S1C_36_3.5M","1",10,NA,"01",1,427243.291380172,3870.73648321074,NA,NA
"1295","S1C_36_4M_1","1C","4",36,"S1C_36_4M","1",10,NA,"01",1,309432.5391382,5791.82476889515,NA,NA
"1296","S3_36_2M_1","3","2",36,"S3_36_2M","1",10,NA,"01",1,316380.287673149,3959.3823702681,NA,NA
"1297","S3_36_3.5M_1","3","3,5",36,"S3_36_3.5M","1",10,NA,"01",1,196978.264508328,5591.08611049839,NA,NA
"1298","S3_36_4M_1","3","4",36,"S3_36_4M","1",10,NA,"01",1,75721.995761425,5504.96902165604,NA,NA
"1299","S11_36_2M_1","11","2",36,"S11_36_2M","1",10,NA,"01",1,44689.5608467084,2164.69510793489,NA,NA
"1300","S11_36_3.5M_1","11","3,5",36,"S11_36_3.5M","1",10,NA,"01",1,19153.4359503886,14909.8603206618,NA,NA
"1301","S11_36_4M_1","11","4",36,"S11_36_4M","1",10,NA,"01",1,21447.3527384556,19026.3368250841,NA,NA
"1302","S13_36_2M_1","13","2",36,"S13_36_2M","1",10,NA,"01",1,467070.752689211,12876.9966816564,NA,NA
"1303","S13_36_3.5M_1","13","3,5",36,"S13_36_3.5M","1",10,NA,"01",1,374096.035171716,6921.37479417747,NA,NA
"1304","S13_36_4M_1","13","4",36,"S13_36_4M","1",10,NA,"01",1,317314.736881998,5275.67647838507,NA,NA
"1305","Mix_36_2M_1","mix","2",36,"Mix_36_2M","1",10,NA,"01",1,374522.57804547,5276.58149773097,NA,NA
"1306","Mix_36_3.5M_1","mix","3,5",36,"Mix_36_3.5M","1",10,NA,"01",1,394964.558490479,6508.67185316433,NA,NA
"1307","Mix_36_4M_1","mix","4",36,"Mix_36_4M","1",10,NA,"01",1,254207.903637157,10551.3770063697,NA,NA
"1308","S1C_36_2M_2","1C","2",36,"S1C_36_2M","2",10,NA,"01",1,242276.895075528,18899.2038180366,NA,NA
"1309","S1C_36_3.5M_2","1C","3,5",36,"S1C_36_3.5M","2",10,NA,"01",1,473701.036692362,3956.82725401283,NA,NA
"1310","S1C_36_4M_2","1C","4",36,"S1C_36_4M","2",10,NA,"01",1,329067.132678149,4702.18783298914,NA,NA
"1311","S3_36_2M_2","3","2",36,"S3_36_2M","2",10,NA,"01",1,360918.814566943,2648.99769195215,NA,NA
"1312","S3_36_3.5M_2","3","3,5",36,"S3_36_3.5M","2",10,NA,"01",1,195714.678694946,5275.63739816438,NA,NA
"1313","S3_36_4M_2","3","4",36,"S3_36_4M","2",10,NA,"01",1,84123.1434031607,4501.47699873764,NA,NA
"1314","S11_36_2M_2","11","2",36,"S11_36_2M","2",10,NA,"01",1,54534.7491304718,2580.508633934,NA,NA
"1315","S11_36_3.5M_2","11","3,5",36,"S11_36_3.5M","2",10,NA,"01",1,23782.9210313551,18997.8542849268,NA,NA
"1316","S11_36_4M_2","11","4",36,"S11_36_4M","2",10,NA,"01",1,32754.6430679444,14810.7951263749,NA,NA
"1317","S13_36_2M_2","13","2",36,"S13_36_2M","2",10,NA,"01",1,504212.203712293,14929.4905772301,NA,NA
"1318","S13_36_3.5M_2","13","3,5",36,"S13_36_3.5M","2",10,NA,"01",1,456957.807536153,6949.92863172856,NA,NA
"1319","S13_36_4M_2","13","4",36,"S13_36_4M","2",10,NA,"01",1,314223.473959745,7889.76634217271,NA,NA
"1320","Mix_36_2M_2","mix","2",36,"Mix_36_2M","2",10,NA,"01",1,346347.227008102,8058.58829090641,NA,NA
"1321","Mix_36_3.5M_2","mix","3,5",36,"Mix_36_3.5M","2",10,NA,"01",1,371159.762519731,7832.77835108019,NA,NA
"1322","Mix_36_4M_2","mix","4",36,"Mix_36_4M","2",10,NA,"01",1,246199.174989857,8459.18035307582,NA,NA
"1323","S1C_36_2M_3","1C","2",36,"S1C_36_2M","3",10,NA,"01",1,226236.784068489,18152.8564222783,NA,NA
"1324","S1C_36_3.5M_3","1C","3,5",36,"S1C_36_3.5M","3",10,NA,"01",1,413911.698026482,4444.18905473156,NA,NA
"1325","S1C_36_4M_3","1C","4",36,"S1C_36_4M","3",10,NA,"01",1,304246.877343336,7006.62159019478,NA,NA
"1326","S3_36_2M_3","3","2",36,"S3_36_2M","3",10,NA,"01",1,376254.238746563,2494.59829072938,NA,NA
"1327","S3_36_3.5M_3","3","3,5",36,"S3_36_3.5M","3",10,NA,"01",1,182067.560337935,5132.29815755754,NA,NA
"1328","S3_36_4M_3","3","4",36,"S3_36_4M","3",10,NA,"01",1,80854.2785773584,3268.5772190847,NA,NA
"1329","S11_36_2M_3","11","2",36,"S11_36_2M","3",10,NA,"01",1,61481.6539685904,2678.17810848026,NA,NA
"1330","S11_36_3.5M_3","11","3,5",36,"S11_36_3.5M","3",10,NA,"01",1,44053.4800147849,4594.85324844839,NA,NA
"1331","S11_36_4M_3","11","4",36,"S11_36_4M","3",10,NA,"01",1,39756.5256168661,9734.43533410681,NA,NA
"1332","S13_36_2M_3","13","2",36,"S13_36_2M","3",10,NA,"01",1,529721.945582881,10977.6590079346,NA,NA
"1333","S13_36_3.5M_3","13","3,5",36,"S13_36_3.5M","3",10,NA,"01",1,457875.049280304,6623.07207252127,NA,NA
"1334","S13_36_4M_3","13","4",36,"S13_36_4M","3",10,NA,"01",1,303889.918142734,4984.27798146631,NA,NA
"1335","Mix_36_2M_3","mix","2",36,"Mix_36_2M","3",10,NA,"01",1,354692.592451067,3707.99181915523,NA,NA
"1336","Mix_36_3.5M_3","mix","3,5",36,"Mix_36_3.5M","3",10,NA,"01",1,331944.647926258,6569.14646519103,NA,NA
"1337","Mix_36_4M_3","mix","4",36,"Mix_36_4M","3",10,NA,"01",1,234361.570207921,9187.16322261703,NA,NA
"1338","Blank_36_2M","blank","2",36,"Blank_36_2M","blank",10,NA,"01",1,89.2264791254972,0,NA,NA
"1339","Blank_36_3.5M","blank","3,5",36,"Blank_36_3.5M","blank",10,NA,"01",1,105.290112737948,0,NA,NA
"1340","Blank_36_4M","blank","4",36,"Blank_36_4M","blank",10,NA,"01",1,80.9924465605426,8.09924465605426,NA,NA
"1341","S1C_24_2M","1C","2",24,"pooled","pooled",10,NA,"01",1,600786.163058809,3399.25819530061,NA,NA
"1342","S1C_24_4M","1C","4",24,"pooled","pooled",10,NA,"01",1,420699.154537797,2525.41138921831,NA,NA
"1343","S3_24_2M","3","2",24,"pooled","pooled",10,NA,"01",1,949980.266359006,2592.07011976893,NA,NA
"1344","S3_24_4M","3","4",24,"pooled","pooled",10,NA,"01",1,495611.497468505,3769.23252505794,NA,NA
"1345","S11_24_2M","11","2",24,"pooled","pooled",10,NA,"01",1,899895.485661653,3048.19915655275,NA,NA
"1346","S11_24_4M","11","4",24,"pooled","pooled",10,NA,"01",1,319407.136220549,1879.8144813533,NA,NA
"1347","S13_24_2M","13","2",24,"pooled","pooled",10,NA,"01",1,813351.40074056,5726.08855038067,NA,NA
"1348","S13_24_4M","13","4",24,"pooled","pooled",10,NA,"01",1,312850.210153172,3645.74107459612,NA,NA
"1349","Mix_24_2M","mix","2",24,"pooled","pooled",10,NA,"01",1,750607.764769448,4520.08538719659,NA,NA
"1350","Mix_24_4M","mix","4",24,"pooled","pooled",10,NA,"01",1,376584.605731323,2487.46619377907,NA,NA
"1351","S1C_36_2M","1C","2",36,"pooled","pooled",10,NA,"01",1,234111.015181352,17801.1544333222,NA,NA
"1352","S1C_36_3.5M","1C","3,5",36,"pooled","pooled",10,NA,"01",1,438285.342033005,4090.58426398504,NA,NA
"1353","S1C_36_4M","1C","4",36,"pooled","pooled",10,NA,"01",1,314248.849719895,5833.54473069302,NA,NA
"1354","S3_36_2M","3","2",36,"pooled","pooled",10,NA,"01",1,351184.446995552,3034.32611764988,NA,NA
"1355","S3_36_3.5M","3","3,5",36,"pooled","pooled",10,NA,"01",1,191586.834513736,5333.00722207344,NA,NA
"1356","S3_36_4M","3","4",36,"pooled","pooled",10,NA,"01",1,80233.1392473147,4425.00774649279,NA,NA
"1357","S11_36_2M","11","2",36,"pooled","pooled",10,NA,"01",1,53568.6546485902,2474.46061678305,NA,NA
"1358","S11_36_3.5M","11","3,5",36,"pooled","pooled",10,NA,"01",1,28996.6123321762,12834.189284679,NA,NA
"1359","S11_36_4M","11","4",36,"pooled","pooled",10,NA,"01",1,31319.5071410887,14523.8557618553,NA,NA
"1360","S13_36_2M","13","2",36,"pooled","pooled",10,NA,"01",1,500334.967328128,12928.048755607,NA,NA
"1361","S13_36_3.5M","13","3,5",36,"pooled","pooled",10,NA,"01",1,429642.963996058,6831.45849947577,NA,NA
"1362","S13_36_4M","13","4",36,"pooled","pooled",10,NA,"01",1,311809.376328159,6049.90693400803,NA,NA
"1363","Mix_36_2M","mix","2",36,"pooled","pooled",10,NA,"01",1,358520.799168213,5681.0538692642,NA,NA
"1364","Mix_36_3.5M","mix","3,5",36,"pooled","pooled",10,NA,"01",1,366022.989645489,6970.19888981185,NA,NA
"1365","Mix_36_4M","mix","4",36,"pooled","pooled",10,NA,"01",1,244922.882944978,9399.24019402085,NA,NA
"1366","S1C_24_2M_1","1C","2",24,"S1C_24_2M","1",11,NA,"02",0,44118.5556597935,56.9639195090943,NA,NA
"1367","S1C_24_4M_1","1C","4",24,"S1C_24_4M","1",11,NA,"02",0,22557.3163059277,113.925839928928,NA,NA
"1368","S3_24_2M_1","3","2",24,"S3_24_2M","1",11,NA,"02",0,466558.229095699,56.9633391240705,NA,NA
"1369","S3_24_4M_1","3","4",24,"S3_24_4M","1",11,NA,"02",0,29905.7191847272,142.408186593939,NA,NA
"1370","S11_24_2M_1","11","2",24,"S11_24_2M","1",11,NA,"02",0,387101.382640171,199.375298247457,NA,NA
"1371","S11_24_4M_1","11","4",24,"S11_24_4M","1",11,NA,"02",0,40643.2504429004,256.334445680521,NA,NA
"1372","S13_24_2M_1","13","2",24,"S13_24_2M","1",11,NA,"02",0,560613.664947514,313.319292471429,NA,NA
"1373","S13_24_4M_1","13","4",24,"S13_24_4M","1",11,NA,"02",0,62602.6742620045,882.931256652475,NA,NA
"1374","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",11,NA,"02",0,597587.032850107,455.738442593027,NA,NA
"1375","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",11,NA,"02",0,74166.7293307273,712.046172530024,NA,NA
"1376","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",11,NA,"02",0,336858.998159486,313.304217447734,NA,NA
"1377","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",11,NA,"02",0,70833.6716344574,626.594602315264,NA,NA
"1378","S3_24_2M_2","3","2",24,"S3_24_2M","2",11,NA,"02",0,979279.489475368,256.340975082261,NA,NA
"1379","S3_24_4M_2","3","4",24,"S3_24_4M","2",11,NA,"02",0,71716.5597982695,541.149577508785,NA,NA
"1380","S11_24_2M_2","11","2",24,"S11_24_2M","2",11,NA,"02",0,547725.448057855,826.003015791878,NA,NA
"1381","S11_24_4M_2","11","4",24,"S11_24_4M","2",11,NA,"02",0,51637.0330887338,313.29694648432,NA,NA
"1382","S13_24_2M_2","13","2",24,"S13_24_2M","2",11,NA,"02",0,601660.195180782,655.124011227476,NA,NA
