"","Sample.ID","Culture","Salinity","Temperature","Treatment.ID","Replicate","Day","Date","Week","Continuation","DunaAlive","DunaDead","Fluorescenc","Absorbance"
"50","S1C_36_4M_2","1C","4",36,"S1C_36_4M","2",0,NA,"01",0,58302.1425989586,56.9635003409464,NA,NA
"51","S3_36_2M_2","3","2",36,"S3_36_2M","2",0,NA,"01",0,68209.1905884004,143.356852854982,NA,NA
"52","S3_36_3.5M_2","3","3,5",36,"S3_36_3.5M","2",0,NA,"01",0,53443.495649161,200.699822716806,NA,NA
"53","S3_36_4M_2","3","4",36,"S3_36_4M","2",0,NA,"01",0,55335.5875493391,172.027733314008,NA,NA
"54","S11_36_2M_2","11","2",36,"S11_36_2M","2",0,NA,"01",0,56483.308084183,0,NA,NA
"55","S11_36_3.5M_2","11","3,5",36,"S11_36_3.5M","2",0,NA,"01",0,61242.4662953723,0,NA,NA
"56","S11_36_4M_2","11","4",36,"S11_36_4M","2",0,NA,"01",0,62131.2140545884,143.357669715248,NA,NA
"57","S13_36_2M_2","13","2",36,"S13_36_2M","2",0,NA,"01",0,47136.162954036,28.6716319671752,NA,NA
"58","S13_36_3.5M_2","13","3,5",36,"S13_36_3.5M","2",0,NA,"01",0,58719.3349741718,172.029301682144,NA,NA
"59","S13_36_4M_2","13","4",36,"S13_36_4M","2",0,NA,"01",0,59178.0460584543,200.700737601347,NA,NA
"60","Mix_36_2M_2","mix","2",36,"Mix_36_2M","2",0,NA,"01",0,56108.6667206477,0,NA,NA
"61","Mix_36_3.5M_2","mix","3,5",36,"Mix_36_3.5M","2",0,NA,"01",0,62290.0107244651,0,NA,NA
"62","Mix_36_4M_2","mix","4",36,"Mix_36_4M","2",0,NA,"01",0,62790.6235566155,0,NA,NA
"63","S1C_36_2M_3","1C","2",36,"S1C_36_2M","3",0,NA,"01",0,61729.7070569557,28.6714849312381,NA,NA
"64","S1C_36_3.5M_3","1C","3,5",36,"S1C_36_3.5M","3",0,NA,"01",0,56906.3113629381,85.4449119563635,NA,NA
"65","S1C_36_4M_3","1C","4",36,"S1C_36_4M","3",0,NA,"01",0,56912.8651590997,86.0144057820146,NA,NA
"66","S3_36_2M_3","3","2",36,"S3_36_2M","3",0,NA,"01",0,66789.0992678076,85.4444766752337,NA,NA
"67","S3_36_3.5M_3","3","3,5",36,"S3_36_3.5M","3",0,NA,"01",0,60898.0257928424,114.685547632472,NA,NA
"68","S3_36_4M_3","3","4",36,"S3_36_4M","3",0,NA,"01",0,57227.957833248,28.6713215597435,NA,NA
"69","S11_36_2M_3","11","2",36,"S11_36_2M","3",0,NA,"01",0,66404.8516306114,31.4565853295175,NA,NA
"70","S11_36_3.5M_3","11","3,5",36,"S11_36_3.5M","3",0,NA,"01",0,68548.8680472896,30.8154048313282,NA,NA
"71","S11_36_4M_3","11","4",36,"S11_36_4M","3",0,NA,"01",0,63646.5164539748,85.6615295477454,NA,NA
"72","S13_36_2M_3","13","2",36,"S13_36_2M","3",0,NA,"01",0,53520.8207635491,14.4299867251413,NA,NA
"73","S13_36_3.5M_3","13","3,5",36,"S13_36_3.5M","3",0,NA,"01",0,59250.1207901913,73.6941800873026,NA,NA
"74","S13_36_4M_3","13","4",36,"S13_36_4M","3",0,NA,"01",0,68639.2615408895,65.8410182646422,NA,NA
"75","Mix_36_2M_3","mix","2",36,"Mix_36_2M","3",0,NA,"01",0,64005.8649474439,63.4664005428299,NA,NA
"76","Mix_36_3.5M_3","mix","3,5",36,"Mix_36_3.5M","3",0,NA,"01",0,62187.4152932564,71.8597357213501,NA,NA
"77","Mix_36_4M_3","mix","4",36,"Mix_36_4M","3",0,NA,"01",0,65168.6379038513,29.375090333041,NA,NA
"78","Blank_36_2M","blank","2",36,"Blank_36_2M","blank",0,NA,"01",0,24.2977065911395,8.09923553037982,NA,NA
"79","Blank_36_3.5M","blank","3,5",36,"Blank_36_3.5M","blank",0,NA,"01",0,8.09926290746485,8.09926290746485,NA,NA
"80","Blank_36_4M","blank","4",36,"Blank_36_4M","blank",0,NA,"01",0,0,8.09921206445425,NA,NA
"81","S1C_24_2M","1C","2",24,"pooled","pooled",0,NA,"01",0,52434.6974482269,66.4570838845365,NA,NA
"82","S1C_24_4M","1C","4",24,"pooled","pooled",0,NA,"01",0,58917.1246805085,76.0147184306866,NA,NA
"83","S3_24_2M","3","2",24,"pooled","pooled",0,NA,"01",0,64748.1352328082,47.4692665590534,NA,NA
"84","S3_24_4M","3","4",24,"pooled","pooled",0,NA,"01",0,50820.4612094896,189.87665245186,NA,NA
"85","S11_24_2M","11","2",24,"pooled","pooled",0,NA,"01",0,61596.9020098394,47.469922176271,NA,NA
"86","S11_24_4M","11","4",24,"pooled","pooled",0,NA,"01",0,56735.5637111157,56.9632961336457,NA,NA
"87","S13_24_2M","13","2",24,"pooled","pooled",0,NA,"01",0,47403.243110118,142.409116279268,NA,NA
"88","S13_24_4M","13","4",24,"pooled","pooled",0,NA,"01",0,65688.1524437849,151.902006588272,NA,NA
"89","Mix_24_2M","mix","2",24,"pooled","pooled",0,NA,"01",0,55653.3589215417,37.9756776419446,NA,NA
"90","Mix_24_4M","mix","4",24,"pooled","pooled",0,NA,"01",0,58600.2182283458,47.5327269374353,NA,NA
"91","S1C_36_2M","1C","2",36,"pooled","pooled",0,NA,"01",0,60019.8343712925,57.3429970912294,NA,NA
"92","S1C_36_3.5M","1C","3,5",36,"pooled","pooled",0,NA,"01",0,59777.9673540415,95.3819757640737,NA,NA
"93","S1C_36_4M","1C","4",36,"pooled","pooled",0,NA,"01",0,57767.7789770521,76.3307379605812,NA,NA
"94","S3_36_2M","3","2",36,"pooled","pooled",0,NA,"01",0,66332.0434787611,104.748569825637,NA,NA
"95","S3_36_3.5M","3","3,5",36,"pooled","pooled",0,NA,"01",0,57082.6109349805,171.585610526931,NA,NA
"96","S3_36_4M","3","4",36,"pooled","pooled",0,NA,"01",0,54818.9120323437,95.3811288187536,NA,NA
"97","S11_36_2M","11","2",36,"pooled","pooled",0,NA,"01",0,58526.3863098662,19.9794021755697,NA,NA
"98","S11_36_3.5M","11","3,5",36,"pooled","pooled",0,NA,"01",0,62359.1502888734,29.3862882717568,NA,NA
"99","S11_36_4M","11","4",36,"pooled","pooled",0,NA,"01",0,61518.0580479105,95.4540237007273,NA,NA
"100","S13_36_2M","13","2",36,"pooled","pooled",0,NA,"01",0,47486.7648618935,33.4816602170984,NA,NA
"101","S13_36_3.5M","13","3,5",36,"pooled","pooled",0,NA,"01",0,57500.9251570658,120.136582746727,NA,NA
"102","S13_36_4M","13","4",36,"pooled","pooled",0,NA,"01",0,63115.4147141386,127.075854964383,NA,NA
"103","Mix_36_2M","mix","2",36,"pooled","pooled",0,NA,"01",0,60877.2536565916,21.15546684761,NA,NA
"104","Mix_36_3.5M","mix","3,5",36,"pooled","pooled",0,NA,"01",0,61447.7606272906,23.95324524045,NA,NA
"105","Mix_36_4M","mix","4",36,"pooled","pooled",0,NA,"01",0,61509.3026100611,9.79169677768033,NA,NA
"106","S1C_24_2M_1","1C","2",24,"S1C_24_2M","1",1,NA,"01",0,49187.7598075497,256.334590774724,NA,NA
"107","S1C_24_4M_1","1C","4",24,"S1C_24_4M","1",1,NA,"01",0,58614.9773551374,740.519636167916,NA,NA
"108","S3_24_2M_1","3","2",24,"S3_24_2M","1",1,NA,"01",0,76501.3747210394,0,NA,NA
"109","S3_24_4M_1","3","4",24,"S3_24_4M","1",1,NA,"01",0,46595.6685309315,170.888759893392,NA,NA
"110","S11_24_2M_1","11","2",24,"S11_24_2M","1",1,NA,"01",0,66276.9576162296,199.372025489303,NA,NA
"111","S11_24_4M_1","11","4",24,"S11_24_4M","1",1,NA,"01",0,43890.1285781966,284.815889540536,NA,NA
"112","S13_24_2M_1","13","2",24,"S13_24_2M","1",1,NA,"01",0,52947.6035372286,199.372364045509,NA,NA
"113","S13_24_4M_1","13","4",24,"S13_24_4M","1",1,NA,"01",0,50241.7504233043,227.853743416346,NA,NA
"114","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",1,NA,"01",0,60352.7602874046,0,NA,NA
"115","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",1,NA,"01",0,50412.3839135463,256.334155492608,NA,NA
"116","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",1,NA,"01",0,46624.4138998025,85.4448635915745,NA,NA
"117","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",1,NA,"01",0,49700.8791078905,797.492616057841,NA,NA
"118","S3_24_2M_2","3","2",24,"S3_24_2M","2",1,NA,"01",0,78096.1190664134,113.925775443346,NA,NA
"119","S3_24_4M_2","3","4",24,"S3_24_4M","2",1,NA,"01",0,53004.087032889,199.370558425697,NA,NA
"120","S11_24_2M_2","11","2",24,"S11_24_2M","2",1,NA,"01",0,61236.1094857434,0,NA,NA
"121","S11_24_4M_2","11","4",24,"S11_24_4M","2",1,NA,"01",0,39845.742946721,256.334300586482,NA,NA
"122","S13_24_2M_2","13","2",24,"S13_24_2M","2",1,NA,"01",0,54799.0424195028,56.9636615587347,NA,NA
"123","S13_24_4M_2","13","4",24,"S13_24_4M","2",1,NA,"01",0,50469.8898448034,455.710066318766,NA,NA
"124","Mix_24_2M_2","mix","2",24,"Mix_24_2M","2",1,NA,"01",0,63657.0359213231,85.4456858004338,NA,NA
"125","Mix_24_4M_2","mix","4",24,"Mix_24_4M","2",1,NA,"01",0,50953.5914802724,199.371235529294,NA,NA
"126","S1C_24_2M_3","1C","2",24,"S1C_24_2M","3",1,NA,"01",0,40671.7090263885,313.29747849459,NA,NA
"127","S1C_24_4M_3","1C","4",24,"S1C_24_4M","3",1,NA,"01",0,47963.1315424674,569.633391240705,NA,NA
"128","S3_24_2M_3","3","2",24,"S3_24_2M","3",1,NA,"01",0,84532.9732272645,113.925839928928,NA,NA
"129","S3_24_4M_3","3","4",24,"S3_24_4M","3",1,NA,"01",0,50469.0613872732,142.4070580905,NA,NA
"130","S11_24_2M_3","11","2",24,"S11_24_2M","3",1,NA,"01",0,74166.3934820206,113.926871708173,NA,NA
"131","S11_24_4M_3","11","4",24,"S11_24_4M","3",1,NA,"01",0,40187.4082769513,170.889050079169,NA,NA
"132","S13_24_2M_3","13","2",24,"S13_24_2M","3",1,NA,"01",0,48333.694191338,142.409234506005,NA,NA
"133","S13_24_4M_3","13","4",24,"S13_24_4M","3",1,NA,"01",0,56279.8746238375,370.262333051562,NA,NA
"134","Mix_24_2M_3","mix","2",24,"Mix_24_2M","3",1,NA,"01",0,62716.8493754586,28.4817662922155,NA,NA
"135","Mix_24_4M_3","mix","4",24,"Mix_24_4M","3",1,NA,"01",0,47565.7495708064,172.028027380855,NA,NA
"136","Blank_24_2M","blank","2",24,"Blank_24_2M","blank",1,NA,"01",0,0,0,NA,NA
"137","Blank_24_4M","blank","4",24,"Blank_24_4M","blank",1,NA,"01",0,0,0,NA,NA
"138","S1C_36_2M_1","1C","2",36,"S1C_36_2M","1",1,NA,"01",0,51695.3059154392,143.359140087186,NA,NA
"139","S1C_36_3.5M_1","1C","3,5",36,"S1C_36_3.5M","1",1,NA,"01",0,60751.641889011,455.708518623618,NA,NA
"140","S1C_36_4M_1","1C","4",36,"S1C_36_4M","1",1,NA,"01",0,51495.0043082155,996.861255966561,NA,NA
"141","S3_36_2M_1","3","2",36,"S3_36_2M","1",1,NA,"01",0,68868.946046913,57.34300253698,NA,NA
"142","S3_36_3.5M_1","3","3,5",36,"S3_36_3.5M","1",1,NA,"01",0,53672.622211088,28.6712725486581,NA,NA
"143","S3_36_4M_1","3","4",36,"S3_36_4M","1",1,NA,"01",0,47594.4480282631,86.0140627016804,NA,NA
